cluster	cluster_id	synteny	synteny_pos	num_samples	representative	upstream	downstream	feature	feature_alt	gene	gene_alt	product	product_alt	product_clean	name	name_alt	dbxref	dbxref_alt	reference
S1_RNA_binding_domain_protein	Cluster_3260	1	3260	1	FM211187.4556	cyclophilin_type_peptidyl-prolyl_cis-trans_isomera.2__S1_RNA_binding_domain_protein	S1_RNA_binding_domain_protein__conserved_protein.95	CDS				putative S1 RNA binding domain protein		S1_RNA_binding_domain_protein	putative S1 RNA binding domain protein				FM211187.4556
cyclophilin_type_peptidyl-prolyl_cis-trans_isomera.2__S1_RNA_binding_domain_protein	Cluster_3261	1	3261	1	FM211187.4556__FM211187.4558	cyclophilin_type_peptidyl-prolyl_cis-trans_isomera.2	S1_RNA_binding_domain_protein	unannotated											FM211187.4556__FM211187.4558
cyclophilin_type_peptidyl-prolyl_cis-trans_isomera.2	Cluster_3262	1	3262	1	FM211187.4558	rpsR__cyclophilin_type_peptidyl-prolyl_cis-trans_isomera.2	cyclophilin_type_peptidyl-prolyl_cis-trans_isomera.2__S1_RNA_binding_domain_protein	CDS				cyclophilin type peptidyl-prolyl cis-trans isomerase protein		cyclophilin_type_peptidyl-prolyl_cis-trans_isomera	cyclophilin type peptidyl-prolyl cis-trans isomerase protein				FM211187.4558
rpsR__cyclophilin_type_peptidyl-prolyl_cis-trans_isomera.2	Cluster_3263	1	3263	1	FM211187.4558__FM211187.4563	rpsR	cyclophilin_type_peptidyl-prolyl_cis-trans_isomera.2	unannotated											FM211187.4558__FM211187.4563
rpsR	Cluster_3264	1	3264	1	FM211187.4563	ssb.1__rpsR	rpsR__cyclophilin_type_peptidyl-prolyl_cis-trans_isomera.2	CDS		rpsR		30S ribosomal protein S18		30S_ribosomal_protein_S18	30S ribosomal protein S18				FM211187.4563
ssb.1__rpsR	Cluster_3265	1	3265	1	FM211187.4563__FM211187.4566	ssb.1	rpsR	unannotated											FM211187.4563__FM211187.4566
ssb.1	Cluster_3266	1	3266	1	FM211187.4566	rpsF__ssb.1	ssb.1__rpsR	CDS		ssb		single strand binding protein (SSB)		single_strand_binding_protein_SSB	single strand binding protein (SSB)				FM211187.4566
rpsF__ssb.1	Cluster_3267	1	3267	1	FM211187.4566__FM211187.4568	rpsF	ssb.1	unannotated											FM211187.4566__FM211187.4568
rpsF	Cluster_3268	1	3268	1	FM211187.4568	asnS__rpsF	rpsF__ssb.1	CDS		rpsF		30S ribosomal protein S6		30S_ribosomal_protein_S6	30S ribosomal protein S6				FM211187.4568
asnS__rpsF	Cluster_3269	1	3269	1	FM211187.4568__FM211187.4570	asnS	rpsF	unannotated											FM211187.4568__FM211187.4570
asnS	Cluster_3270	1	3270	1	FM211187.4570	conserved_protein.96__asnS	asnS__rpsF	CDS		asnS		asparaginyl-tRNA synthetase		asparaginyl-tRNA_synthetase	asparaginyl-tRNA synthetase				FM211187.4570
conserved_protein.96__asnS	Cluster_3271	1	3271	1	FM211187.4570__FM211187.4575	conserved_protein.96	asnS	unannotated											FM211187.4570__FM211187.4575
conserved_protein.96	Cluster_3272	1	3272	1	FM211187.4575	aspC	conserved_protein.96__asnS	CDS				conserved hypothetical protein		conserved_protein	conserved hypothetical protein				FM211187.4575
aspC	Cluster_3273	1	3273	1	FM211187.4577	membrane_protein.86	conserved_protein.96	CDS		aspC		aspartate aminotransferase		aspartate_aminotransferase	aspartate aminotransferase				FM211187.4577
membrane_protein.86	Cluster_3274	1	3274	1	FM211187.4580	membrane_protein.86__Cluster_3276	aspC	CDS				putative membrane protein		membrane_protein	putative membrane protein				FM211187.4580
membrane_protein.86__Cluster_3276	Cluster_3275	1	3275	1	FM211187.4580__FM211187.4584	membrane_protein.86	Cluster_3276	unannotated											FM211187.4580__FM211187.4584
Cluster_3276	Cluster_3276	1	3276	1	FM211187.4584	membrane_protein.86__Cluster_3276	Cluster_3277	repeat_region											FM211187.4584
Cluster_3277	Cluster_3277	1	3277	1	FM211187.4585	Cluster_3276	Cluster_3277__pclA	repeat_region											FM211187.4585
Cluster_3277__pclA	Cluster_3278	1	3278	1	FM211187.4585__FM211187.4586	Cluster_3277	pclA	unannotated											FM211187.4585__FM211187.4586
pclA	Cluster_3279	1	3279	1	FM211187.4586	Cluster_3277__pclA	pclA__collagen-like_surface-anchored_protein	CDS		pclA		putative NADPH-dependent FMN reductase		NADPH-dependent_FMN_reductase	putative NADPH-dependent FMN reductase				FM211187.4586
pclA__collagen-like_surface-anchored_protein	Cluster_3280	1	3280	1	FM211187.4586__FM211187.4588	pclA	collagen-like_surface-anchored_protein	unannotated											FM211187.4586__FM211187.4588
collagen-like_surface-anchored_protein	Cluster_3281	1	3281	1	FM211187.4588	collagen-like_surface-anchored_protein__Mga-like_regulatory_protein.1	pclA__collagen-like_surface-anchored_protein	CDS				putative collagen-like surface-anchored protein		collagen-like_surface-anchored_protein	putative collagen-like surface-anchored protein				FM211187.4588
collagen-like_surface-anchored_protein__Mga-like_regulatory_protein.1	Cluster_3282	1	3282	1	FM211187.4588__FM211187.4599	collagen-like_surface-anchored_protein	Mga-like_regulatory_protein.1	unannotated											FM211187.4588__FM211187.4599
Mga-like_regulatory_protein.1	Cluster_3283	1	3283	1	FM211187.4599	collagen-like_surface-anchored_protein__Mga-like_regulatory_protein.1	Mga-like_regulatory_protein.1__conserved_protein.97	CDS				putative Mga-like regulatory protein		Mga-like_regulatory_protein	putative Mga-like regulatory protein				FM211187.4599
Mga-like_regulatory_protein.1__conserved_protein.97	Cluster_3284	1	3284	1	FM211187.4599__FM211187.4603	Mga-like_regulatory_protein.1	conserved_protein.97	unannotated											FM211187.4599__FM211187.4603
conserved_protein.97	Cluster_3285	1	3285	1	FM211187.4603	Cluster_3287__conserved_protein.97	Mga-like_regulatory_protein.1__conserved_protein.97	CDS				conserved hypothetical protein		conserved_protein	conserved hypothetical protein				FM211187.4603
Cluster_3287__conserved_protein.97	Cluster_3286	1	3286	1	FM211187.4603__FM211187.4605	Cluster_3287	conserved_protein.97	unannotated											FM211187.4603__FM211187.4605
Cluster_3287	Cluster_3287	1	3287	1	FM211187.4605	Cluster_3288	Cluster_3287__conserved_protein.97	repeat_region											FM211187.4605
Cluster_3288	Cluster_3288	1	3288	1	FM211187.4606	Cluster_3289	Cluster_3287	repeat_region											FM211187.4606
Cluster_3289	Cluster_3289	1	3289	1	FM211187.4607	membrane_protein.87	Cluster_3288	repeat_region											FM211187.4607
membrane_protein.87	Cluster_3290	1	3290	1	FM211187.4608	fms__membrane_protein.87	Cluster_3289	CDS				putative membrane protein		membrane_protein	putative membrane protein				FM211187.4608
fms__membrane_protein.87	Cluster_3291	1	3291	1	FM211187.4608__FM211187.4610	fms	membrane_protein.87	unannotated											FM211187.4608__FM211187.4610
fms	Cluster_3292	1	3292	1	FM211187.4610	glutathione_S-transferase__fms	fms__membrane_protein.87	CDS		fms		peptide deformylase		peptide_deformylase	peptide deformylase				FM211187.4610
glutathione_S-transferase__fms	Cluster_3293	1	3293	1	FM211187.4610__FM211187.4612	glutathione_S-transferase	fms	unannotated											FM211187.4610__FM211187.4612
glutathione_S-transferase	Cluster_3294	1	3294	1	FM211187.4612	cation_transporting_ATPase.1__glutathione_S-transferase	glutathione_S-transferase__fms	CDS				putative glutathione S-transferase		glutathione_S-transferase	putative glutathione S-transferase				FM211187.4612
cation_transporting_ATPase.1__glutathione_S-transferase	Cluster_3295	1	3295	1	FM211187.4612__FM211187.4615	cation_transporting_ATPase.1	glutathione_S-transferase	unannotated											FM211187.4612__FM211187.4615
cation_transporting_ATPase.1	Cluster_3296	1	3296	1	FM211187.4615	yybP-ykoY_leader__cation_transporting_ATPase.1	cation_transporting_ATPase.1__glutathione_S-transferase	CDS				cation transporting ATPase		cation_transporting_ATPase	cation transporting ATPase				FM211187.4615
yybP-ykoY_leader__cation_transporting_ATPase.1	Cluster_3297	1	3297	1	FM211187.4615__FM211187.4622	yybP-ykoY_leader	cation_transporting_ATPase.1	unannotated											FM211187.4615__FM211187.4622
yybP-ykoY_leader	Cluster_3298	1	3298	1	FM211187.4622	yybP-ykoY_leader__cation_efflux_family_protein.1	yybP-ykoY_leader__cation_transporting_ATPase.1	transcript				yybP-ykoY leader		yybP-ykoY_leader	yybP-ykoY leader				FM211187.4622
yybP-ykoY_leader__cation_efflux_family_protein.1	Cluster_3299	1	3299	1	FM211187.4622__FM211187.4623	yybP-ykoY_leader	cation_efflux_family_protein.1	unannotated											FM211187.4622__FM211187.4623
cation_efflux_family_protein.1	Cluster_3300	1	3300	1	FM211187.4623	yybP-ykoY_leader__cation_efflux_family_protein.1	cation_efflux_family_protein.1__Cluster_3302	CDS				cation efflux family protein		cation_efflux_family_protein	cation efflux family protein				FM211187.4623
cation_efflux_family_protein.1__Cluster_3302	Cluster_3301	1	3301	1	FM211187.4623__FM211187.4626	cation_efflux_family_protein.1	Cluster_3302	unannotated											FM211187.4623__FM211187.4626
Cluster_3302	Cluster_3302	1	3302	1	FM211187.4626	Cluster_3303	cation_efflux_family_protein.1__Cluster_3302	repeat_region											FM211187.4626
Cluster_3303	Cluster_3303	1	3303	1	FM211187.4627	ABC_transporter_ATP-binding_protein.22	Cluster_3302	repeat_region											FM211187.4627
ABC_transporter_ATP-binding_protein.22	Cluster_3304	1	3304	1	FM211187.4628	cca	Cluster_3303	CDS				ABC transporter ATP-binding protein		ABC_transporter_ATP-binding_protein	ABC transporter ATP-binding protein				FM211187.4628
cca	Cluster_3305	1	3305	1	FM211187.4633	dapB__cca	ABC_transporter_ATP-binding_protein.22	CDS		cca		CCA-adding enzyme		CCA-adding_enzyme	CCA-adding enzyme				FM211187.4633
dapB__cca	Cluster_3306	1	3306	1	FM211187.4633__FM211187.4635	dapB	cca	unannotated											FM211187.4633__FM211187.4635
dapB	Cluster_3307	1	3307	1	FM211187.4635	DegV_family_protein__dapB	dapB__cca	CDS		dapB		putative dihydrodipicolinate reductase		dihydrodipicolinate_reductase	putative dihydrodipicolinate reductase				FM211187.4635
DegV_family_protein__dapB	Cluster_3308	1	3308	1	FM211187.4635__FM211187.4639	DegV_family_protein	dapB	unannotated											FM211187.4635__FM211187.4639
DegV_family_protein	Cluster_3309	1	3309	1	FM211187.4639	conserved_protein.98__DegV_family_protein	DegV_family_protein__dapB	CDS				DegV family protein		DegV_family_protein	DegV family protein				FM211187.4639
conserved_protein.98__DegV_family_protein	Cluster_3310	1	3310	1	FM211187.4639__FM211187.4641	conserved_protein.98	DegV_family_protein	unannotated											FM211187.4639__FM211187.4641
conserved_protein.98	Cluster_3311	1	3311	1	FM211187.4641	phosphoglucosamine_mutase__conserved_protein.98	conserved_protein.98__DegV_family_protein	CDS				conserved hypothetical protein		conserved_protein	conserved hypothetical protein				FM211187.4641
phosphoglucosamine_mutase__conserved_protein.98	Cluster_3312	1	3312	1	FM211187.4641__FM211187.4643	phosphoglucosamine_mutase	conserved_protein.98	unannotated											FM211187.4641__FM211187.4643
phosphoglucosamine_mutase	Cluster_3313	1	3313	1	FM211187.4643	exported_protein.10__phosphoglucosamine_mutase	phosphoglucosamine_mutase__conserved_protein.98	CDS				putative phosphoglucosamine mutase		phosphoglucosamine_mutase	putative phosphoglucosamine mutase				FM211187.4643
exported_protein.10__phosphoglucosamine_mutase	Cluster_3314	1	3314	1	FM211187.4643__FM211187.4649	exported_protein.10	phosphoglucosamine_mutase	unannotated											FM211187.4643__FM211187.4649
exported_protein.10	Cluster_3315	1	3315	1	FM211187.4649	membrane_protein.88	exported_protein.10__phosphoglucosamine_mutase	CDS				putative exported protein		exported_protein	putative exported protein				FM211187.4649
membrane_protein.88	Cluster_3316	1	3316	1	FM211187.4655	membrane_protein.88__pyridine_nucleotide-disulphide_oxidoreductase_fami	exported_protein.10	CDS				putative membrane protein		membrane_protein	putative membrane protein				FM211187.4655
membrane_protein.88__pyridine_nucleotide-disulphide_oxidoreductase_fami	Cluster_3317	1	3317	1	FM211187.4655__FM211187.4658	membrane_protein.88	pyridine_nucleotide-disulphide_oxidoreductase_fami	unannotated											FM211187.4655__FM211187.4658
pyridine_nucleotide-disulphide_oxidoreductase_fami	Cluster_3318	1	3318	1	FM211187.4658	membrane_protein.88__pyridine_nucleotide-disulphide_oxidoreductase_fami	pyridine_nucleotide-disulphide_oxidoreductase_fami__autolysin	CDS				pyridine nucleotide-disulphide oxidoreductase family protein		pyridine_nucleotide-disulphide_oxidoreductase_fami	pyridine nucleotide-disulphide oxidoreductase family protein				FM211187.4658
pyridine_nucleotide-disulphide_oxidoreductase_fami__autolysin	Cluster_3319	1	3319	1	FM211187.4658__FM211187.4663	pyridine_nucleotide-disulphide_oxidoreductase_fami	autolysin	unannotated											FM211187.4658__FM211187.4663
autolysin	Cluster_3320	1	3320	1	FM211187.4663	hol__autolysin	pyridine_nucleotide-disulphide_oxidoreductase_fami__autolysin	CDS				autolysin		autolysin	autolysin				FM211187.4663
hol__autolysin	Cluster_3321	1	3321	1	FM211187.4663__FM211187.4670	hol	autolysin	unannotated											FM211187.4663__FM211187.4670
hol	Cluster_3322	1	3322	1	FM211187.4670	holin__hol	hol__autolysin	CDS		hol		antiholin		antiholin	antiholin				FM211187.4670
holin__hol	Cluster_3323	1	3323	1	FM211187.4670__FM211187.4673	holin	hol	unannotated											FM211187.4670__FM211187.4673
holin	Cluster_3324	1	3324	1	FM211187.4673	uncharacterized_prophage_protein__holin	holin__hol	CDS				holin		holin	holin				FM211187.4673
uncharacterized_prophage_protein__holin	Cluster_3325	1	3325	1	FM211187.4673__FM211187.4676	uncharacterized_prophage_protein	holin	unannotated											FM211187.4673__FM211187.4676
uncharacterized_prophage_protein	Cluster_3326	1	3326	1	FM211187.4676	phage_structural_protein__uncharacterized_prophage_protein	uncharacterized_prophage_protein__holin	CDS				putative uncharacterized prophage protein		uncharacterized_prophage_protein	putative uncharacterized prophage protein				FM211187.4676
phage_structural_protein__uncharacterized_prophage_protein	Cluster_3327	1	3327	1	FM211187.4676__FM211187.4677	phage_structural_protein	uncharacterized_prophage_protein	unannotated											FM211187.4676__FM211187.4677
phage_structural_protein	Cluster_3328	1	3328	1	FM211187.4677	platelet-binding_phage_protein__phage_structural_protein	phage_structural_protein__uncharacterized_prophage_protein	CDS				phage structural protein		phage_structural_protein	phage structural protein				FM211187.4677
platelet-binding_phage_protein__phage_structural_protein	Cluster_3329	1	3329	1	FM211187.4677__FM211187.4679	platelet-binding_phage_protein	phage_structural_protein	unannotated											FM211187.4677__FM211187.4679
platelet-binding_phage_protein	Cluster_3330	1	3330	1	FM211187.4679	phage_tail_protein__platelet-binding_phage_protein	platelet-binding_phage_protein__phage_structural_protein	CDS				putative platelet-binding phage protein		platelet-binding_phage_protein	putative platelet-binding phage protein				FM211187.4679
phage_tail_protein__platelet-binding_phage_protein	Cluster_3331	1	3331	1	FM211187.4679__FM211187.4684	phage_tail_protein	platelet-binding_phage_protein	unannotated											FM211187.4679__FM211187.4684
phage_tail_protein	Cluster_3332	1	3332	1	FM211187.4684	phage_minor_tail_protein__phage_tail_protein	phage_tail_protein__platelet-binding_phage_protein	CDS				phage tail protein		phage_tail_protein	phage tail protein				FM211187.4684
phage_minor_tail_protein__phage_tail_protein	Cluster_3333	1	3333	1	FM211187.4684__FM211187.4686	phage_minor_tail_protein	phage_tail_protein	unannotated											FM211187.4684__FM211187.4686
phage_minor_tail_protein	Cluster_3334	1	3334	1	FM211187.4686	phage_Gp15_protein	phage_minor_tail_protein__phage_tail_protein	CDS				putative phage minor tail protein		phage_minor_tail_protein	putative phage minor tail protein				FM211187.4686
phage_Gp15_protein	Cluster_3335	1	3335	1	FM211187.4688	phage_protein.2__phage_Gp15_protein	phage_minor_tail_protein	CDS				putative phage Gp15 protein		phage_Gp15_protein	putative phage Gp15 protein				FM211187.4688
phage_protein.2__phage_Gp15_protein	Cluster_3336	1	3336	1	FM211187.4688__FM211187.4690	phage_protein.2	phage_Gp15_protein	unannotated											FM211187.4688__FM211187.4690
phage_protein.2	Cluster_3337	1	3337	1	FM211187.4690	phage_protein.3__phage_protein.2	phage_protein.2__phage_Gp15_protein	CDS				hypothetical phage protein		phage_protein	hypothetical phage protein				FM211187.4690
phage_protein.3__phage_protein.2	Cluster_3338	1	3338	1	FM211187.4690__FM211187.4691	phage_protein.3	phage_protein.2	unannotated											FM211187.4690__FM211187.4691
phage_protein.3	Cluster_3339	1	3339	1	FM211187.4691	phage_protein.4	phage_protein.3__phage_protein.2	CDS				hypothetical phage protein		phage_protein	hypothetical phage protein				FM211187.4691
phage_protein.4	Cluster_3340	1	3340	1	FM211187.4692	phage_protein.5	phage_protein.3	CDS				hypothetical phage protein		phage_protein	hypothetical phage protein				FM211187.4692
phage_protein.5	Cluster_3341	1	3341	1	FM211187.4693	phage_protein.6	phage_protein.4	CDS				hypothetical phage protein		phage_protein	hypothetical phage protein				FM211187.4693
phage_protein.6	Cluster_3342	1	3342	1	FM211187.4694	phage_protein.7	phage_protein.5	CDS				hypothetical phage protein		phage_protein	hypothetical phage protein				FM211187.4694
phage_protein.7	Cluster_3343	1	3343	1	FM211187.4695	phage_protein.8__phage_protein.7	phage_protein.6	CDS				hypothetical phage protein		phage_protein	hypothetical phage protein				FM211187.4695
phage_protein.8__phage_protein.7	Cluster_3344	1	3344	1	FM211187.4695__FM211187.4696	phage_protein.8	phage_protein.7	unannotated											FM211187.4695__FM211187.4696
phage_protein.8	Cluster_3345	1	3345	1	FM211187.4696	phage_capsid_protein__phage_protein.8	phage_protein.8__phage_protein.7	CDS				putative phage protein		phage_protein	putative phage protein				FM211187.4696
phage_capsid_protein__phage_protein.8	Cluster_3346	1	3346	1	FM211187.4696__FM211187.4697	phage_capsid_protein	phage_protein.8	unannotated											FM211187.4696__FM211187.4697
